City,Hemisphere,Latitude,Longitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph)
Talnakh,northern,69.4865,88.3972,-11.09,88,100,2.53
Tuktoyaktuk,northern,69.4541,-133.0374,-38.2,67,20,9.22
Albany,northern,42.6001,-73.9662,26.38,87,100,3.06
Tateyama,northern,34.9833,139.8667,37,40,50,3
Nouadhibou,northern,20.931,-17.0347,66.2,77,0,17.27
Punta Arenas,southern,-53.15,-70.9167,68,56,0,8.05
Niquero,northern,20.0431,-77.5828,81.77,63,73,7.25
Belmonte,southern,-15.8631,-38.8828,80.6,74,40,9.22
Rikitea,southern,-23.1203,-134.9692,78.48,71,57,8.1
Iberia,northern,29.9502,-91.7507,74.62,73,1,4.61
Tual,southern,-5.6667,132.75,83.16,79,94,18.1
Cham,northern,47.1821,8.4636,31.1,86,90,2.3
Mutoko,southern,-17.397,32.2268,66.49,98,100,1.3
Cape Town,southern,-33.9258,18.4232,69.98,83,0,24.16
Sampit,southern,-2.5333,112.95,75.36,98,100,1.9
Porosozero,northern,62.7191,32.727,-3.98,92,0,1.12
Shache,northern,38.4167,77.2406,40.5,60,86,7.38
Lagoa,northern,39.05,-27.9833,61.05,90,100,29.71
Fortuna,northern,40.5982,-124.1573,50.18,93,20,3.91
Cidreira,southern,-30.1811,-50.2056,76.62,77,0,17.34
Mar del Plata,southern,-38.0023,-57.5575,67.71,68,75,16.11
Nanortalik,northern,60.1432,-45.2371,29.59,87,81,13.38
Muzhi,northern,65.3667,64.6667,-24.66,82,0,2.98
Chokurdakh,northern,70.6333,147.9167,-12.6,88,38,3.44
Portland,northern,45.5234,-122.6762,41.27,71,100,1.99
Bethel,northern,41.3712,-73.414,27.34,93,90,4.61
Ushuaia,southern,-54.8,-68.3,66.2,52,20,3.44
Sūsangerd,northern,31.5608,48.1831,62.6,77,100,4.61
Qaanaaq,northern,77.484,-69.3632,17.73,73,0,4.81
Avarua,southern,-21.2078,-159.775,82.4,78,100,6.91
Menongue,southern,-14.6585,17.691,68.23,86,100,1.1
Puerto Ayora,southern,-0.7393,-90.3518,80.17,89,90,14.97
Saint-Philippe,southern,-21.3585,55.7679,74.39,69,75,14.97
Butaritari,northern,3.0707,172.7902,80.89,83,5,16.55
Vaini,southern,-21.2,-175.2,80.6,83,90,23.02
Arraial do Cabo,southern,-22.9661,-42.0278,75.2,83,75,5.75
Codrington,southern,-38.2667,141.9667,54.48,92,0,8.25
Gigmoto,northern,13.7796,124.39,72.52,91,100,16.08
East London,southern,-33.0153,27.9116,72.86,74,0,4.43
Progreso,northern,21.2833,-89.6667,87.8,48,75,16.11
Sambava,southern,-14.2667,50.1667,77.52,86,100,3.51
Carnarvon,southern,-24.8667,113.6333,73.4,100,40,18.41
Hilo,northern,19.7297,-155.09,68.54,73,90,13.8
São Félix do Xingu,southern,-6.6447,-51.995,80.6,82,99,1.72
Oistins,northern,13.0667,-59.5333,80.6,61,75,17.27
Yellowknife,northern,62.456,-114.3525,-12.19,70,90,18.41
Souillac,southern,-20.5167,57.5167,78.8,78,20,4.61
Imeni Poliny Osipenko,northern,52.4201,136.4853,-10.7,91,34,0.74
Busselton,southern,-33.65,115.3333,54,97,88,9.57
Marawi,northern,7.9986,124.2928,73.99,94,83,4
Hermanus,southern,-34.4187,19.2345,69.01,82,0,1.01
Port Elizabeth,southern,-33.918,25.5701,69.8,94,0,8.05
Upernavik,northern,72.7868,-56.1549,10.96,76,20,2.77
Alofi,southern,-19.0595,-169.9187,78.8,94,100,4.61
San Matías,southern,-16.3667,-58.4,96.42,24,73,5.44
Puerto Berrío,northern,6.4916,-74.4033,91.38,52,51,2.28
Asău,northern,46.4333,26.4,33.93,93,0,2.3
Kaitangata,southern,-46.2817,169.8464,55,93,100,3
Klaksvík,northern,62.2266,-6.589,28.4,86,91,6.91
Hobart,southern,-42.8794,147.3294,47.46,81,40,5.75
Cherskiy,northern,68.75,161.3,-3.51,84,0,1.07
Paamiut,northern,61.994,-49.6678,31.57,88,97,6.87
Bondo,northern,3.8146,23.6866,72.81,22,94,1.79
Tessalit,northern,20.1986,1.0114,71.82,17,0,10.2
Hong Kong,northern,22.2855,114.1577,61.74,81,72,31.14
Leningradskiy,northern,69.3833,178.4167,-26.1,83,9,10.78
Tuatapere,southern,-46.1333,167.6833,51.78,89,100,5.73
Kynashiv,northern,48.6705,28.9037,28.99,89,84,7.11
Dikson,northern,73.5069,80.5464,-29.11,87,96,9.98
Noumea,southern,-22.2763,166.4572,77.5,94,75,3.44
